sample,year,cumulative_progress,progress_rate,bottleneck_stage
0,2024.0,1.0,1.0,7.0
0,2025.0,2.379823697903992,1.379823697903992,7.0
0,2026.0,4.1445018335491035,1.7646781356451113,7.0
0,2027.0,6.292928539557077,2.1484267060079736,7.0
0,2028.0,8.818572619524021,2.5256440799669444,7.0
0,2029.0,11.710224966758833,2.8916523472348117,7.0
0,2030.0,14.952763153329046,3.2425381865702128,7.0
0,2031.0,18.52791446960237,3.5751513162733213,7.0
0,2032.0,22.414999619917992,3.8870851503156234,7.0
0,2033.0,26.591640834135738,4.176641214217746,7.0
0,2034.0,31.034420257056265,4.442779422920527,7.0
0,2035.0,35.71947701785838,4.685056760802119,7.0
0,2036.0,40.589998749260445,4.870521731402061,8.0
0,2037.0,45.53139285912613,4.9413941098656835,8.0
0,2038.0,50.528567118438446,4.997174259312318,8.0
0,2039.0,55.56916231770933,5.040595199270885,8.0
0,2040.0,60.64318831487204,5.074025997162717,8.0
0,2041.0,65.74267422082275,5.0994859059507025,8.0
0,2042.0,70.8613419267371,5.118667705914347,8.0
0,2043.0,75.994309427242,5.132967500504901,8.0
0,2044.0,81.13782778916263,5.143518361920626,8.0
0,2045.0,86.28905329827143,5.151225509108792,8.0
0,2046.0,91.44585438416257,5.156801085891149,8.0
0,2047.0,96.6066514285159,5.160797044353328,8.0
0,2048.0,101.77028651420105,5.163635085685148,8.0
0,2049.0,106.93591954505469,5.1656330308536464,8.0
0,2050.0,112.10294690441151,5.167027359356825,8.0
1,2024.0,1.0,1.0,7.0
1,2025.0,2.1502394429211966,1.1502394429211966,7.0
1,2026.0,3.4460515197952466,1.2958120768740502,7.0
1,2027.0,4.882299137983652,1.436247618188405,7.0
1,2028.0,6.453438397008812,1.5711392590251596,7.0
1,2029.0,8.153583486556848,1.700145089548035,7.0
1,2030.0,9.976572147984994,1.822988661428146,7.0
1,2031.0,11.916030841952828,1.9394586939678338,7.0
1,2032.0,13.965438783352226,2.049407941399399,7.0
1,2033.0,16.118190040281977,2.1527512569297502,7.0
1,2034.0,18.367652945642746,2.2494629053607698,7.0
1,2035.0,20.70722613676703,2.3395731911242827,7.0
1,2036.0,23.130390618633463,2.423164481866434,7.0
1,2037.0,25.630757337517732,2.5003667188842704,7.0
1,2038.0,28.202109851927602,2.5713525144098686,7.0
1,2039.0,30.838441793617392,2.636331941689789,7.0
1,2040.0,33.533988920468495,2.695547126851101,7.0
1,2041.0,36.28325567208389,2.749266751615397,7.0
1,2042.0,39.08103624514719,2.797780573063299,7.0
1,2043.0,41.922430306162994,2.8413940610158046,7.0
1,2044.0,44.80285355160171,2.880423245438713,7.0
1,2045.0,47.71804340753762,2.9151898559359104,7.0
1,2046.0,50.664060230832284,2.94601682329466,7.0
1,2047.0,53.6372844304872,2.9732241996549136,7.0
1,2048.0,56.63440997018905,2.997125539701847,7.0
1,2049.0,59.6524347410326,3.0180247708435504,7.0
1,2050.0,62.68864830717015,3.03621356613755,7.0
2,2024.0,1.0,1.0,7.0
2,2025.0,2.3867167046549644,1.3867167046549647,7.0
2,2026.0,4.157281555636371,1.7705648509814067,7.0
2,2027.0,6.303246949469596,2.1459653938332255,7.0
2,2028.0,8.811374836206726,2.5081278867371295,7.0
2,2029.0,11.664456852160898,2.853082015954172,7.0
2,2030.0,14.842142225720698,3.1776853735598,7.0
2,2031.0,18.32175041035396,3.479608184633261,7.0
2,2032.0,21.99893876977089,3.6771883594169323,8.0
2,2033.0,25.840047502132954,3.8411087323620614,8.0
