intervention_key,intervention_name,category,annual_cost_usd,total_cost_discounted,baseline_acceleration,modified_acceleration,delta_acceleration,acceleration_boost_factor,baseline_beneficiaries,modified_beneficiaries,delta_beneficiaries,value_generated_usd,roi,cost_per_beneficiary,cost_per_qaly,implementation_lag_years,evidence_quality,rank
adaptive_trials_expansion,Expand Adaptive Trial Designs,regulatory_reform,200000000,2259214627.875872,5.7294180064332965,6.3667726661702835,0.637354659736987,1.1112424785591366,889003456,987898403.8930783,98894947.89307833,39557979157231.33,17509.615363292858,22.84459091194885,5.711147727987212,1.5,4,1
real_world_evidence,Real-World Evidence Integration,regulatory_reform,200000000,1693492356.8969357,5.7294180064332965,6.013211481252608,0.28379347481931116,1.0495326880497553,889003456,933038186.8612024,44034730.86120236,17613892344480.945,10400.928160523674,38.4581062215375,9.614526555384375,4.0,3,2
industry_academia_partnerships,Industry-Academia AI Partnerships,talent_development,300000000,2044570540.6414008,5.7294180064332965,6.002841697288093,0.2734236908547967,1.0477227687956756,889003456,931429162.3892446,42425706.38924456,16970282555697.822,8300.16975123494,48.19178546806058,12.047946367015145,2.0,3,3
target_validation_initiative,Target Validation Initiative,research_funding,1000000000,9382603443.837837,5.7294180064332965,6.431624292204726,0.70220628577143,1.122561538533749,889003456,997961087.3291801,108957631.32918012,43583052531672.05,4645.0916094397935,86.11240286135944,21.52810071533986,3.0,3,4
ai_research_doubling,Double AI Research Funding,ai_investment,5000000000,34076175677.35668,5.7294180064332965,8.159635076615187,2.4302170701818904,1.4241647349614066,889003456,1266087371.2940145,377083915.29401445,150833566117605.78,4426.364259468041,90.36761923612492,22.59190480903123,2.0,3,5
accelerated_approval_expansion,Expand Accelerated Approval Pathways,regulatory_reform,100000000,778610892.1879104,5.7294180064332965,5.782227124313275,0.05280911787997855,1.0092171871245355,889003456,897197567.2083107,8194111.208310723,3277644483324.2896,4209.605229274472,95.02078656172239,23.755196640430597,1.0,4,6
translational_science_centers,Translational Science Centers,research_funding,600000000,6195119611.782955,5.7294180064332965,6.074627829435731,0.34520982300243475,1.0602521621942778,889003456,942567836.4221854,53564380.42218542,21425752168874.168,3458.488860832154,115.65744927793557,28.914362319483892,2.0,3,7
biobank_expansion,National Biobank Expansion,data_infrastructure,800000000,8260159482.3772745,5.7294180064332965,6.118948034839241,0.38953002840594486,1.0679877132317035,889003456,949444768.0285213,60441312.0285213,24176524811408.52,2926.883538143323,136.66413261312786,34.166033153281965,2.0,4,8
federated_health_data,Federated Health Data Network,data_infrastructure,1500000000,18615494116.091473,5.7294180064332965,6.569487845580048,0.8400698391467518,1.146623939500221,889003456,1019352644.9480313,130349188.9480313,52139675579212.52,2800.875187843782,142.81250436865588,35.70312609216397,3.0,2,9
ai_bio_training,AI-Biology Cross-Training Program,talent_development,500000000,5747593875.687243,5.7294180064332965,5.985316174891465,0.2558981684581685,1.0446639027159186,889003456,928709819.8728994,39706363.87289941,15882545549159.766,2763.3381711857087,144.7524606908194,36.18811517270485,4.0,3,10
pandemic_preparedness,100 Days Mission Infrastructure,international_coordination,3000000000,30975598058.91478,5.7294180064332965,6.91006110745114,1.1806431010178438,1.2060668465264979,889003456,1072197594.7290782,183194138.72907817,73277655491631.27,2365.657487944513,169.08618514658878,42.271546286647194,2.0,4,11
ai_compute_infrastructure,National AI Compute Infrastructure,ai_investment,2000000000,18765206887.675674,5.7294180064332965,6.3422416919329025,0.6128236854996061,1.1069608963443573,889003456,984092062.5069915,95088606.5069915,38035442602796.6,2026.9130434035842,197.34443038973276,49.33610759743319,3.0,2,12
harmonized_regulations,International Regulatory Harmonization,international_coordination,50000000,620516470.5363823,5.7294180064332965,5.7023992228958535,-0.027018783537442914,0.9952842010293009,889003456,884811094.4172473,-4192361.5827527046,-1676944633101.0818,-2702.498181315815,inf,inf,3.0,3,13
